S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S40	S8	S9
Otu00040	0	1920	0	0	382	0	340	380	0	0	0	0	380	374	469	393	625	0	0	0	0	0	0	0	0	0	0	0	1169	0	477	0
Otu00041	0	0	497	0	395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1171	3559	0	0	0	0	0	0	0	0	0	0
Otu00042	0	0	275	0	0	0	0	371	0	0	737	0	0	1211	1402	1044	906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00043	0	0	308	0	0	0	0	0	0	0	713	291	339	0	0	0	0	0	572	370	430	370	719	0	0	335	423	0	0	369	0	0
Otu00044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2022	4609	0	0	0	585	674	0	0	0	0	0
Otu00045	0	0	681	321	597	362	0	0	0	0	0	0	0	1127	1065	1315	402	0	0	0	0	0	0	0	0	0	0	0	0	643	406	0
Otu00046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1333	2510	0	0	0	551	554	0	0	0	0	0
Otu00047	0	0	0	0	332	0	0	0	0	0	350	0	0	332	0	0	0	0	0	0	987	2311	0	0	0	0	0	0	0	465	0	0
Otu00048	0	0	0	0	0	0	367	370	0	0	4663	0	0	0	370	346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00049	0	0	513	0	572	312	0	0	0	0	0	0	0	352	0	0	0	0	0	0	666	1367	0	0	0	0	0	0	0	0	0	0
Otu00050	0	0	736	472	840	548	442	434	0	0	0	0	649	0	486	331	0	0	0	0	0	0	0	0	0	0	0	379	0	0	0	0
Otu00051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	556	1477	4040	0	0	0	0	0	0	0	0	0	0
Otu00052	0	0	0	0	300	0	814	799	0	333	374	0	511	583	817	587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00053	0	0	427	0	566	424	613	599	0	0	0	0	634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00054	0	0	632	318	641	364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	664	0	0	0	0	0	0	0	0	0	0
Otu00055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2086	3442	0	0	0	0	0	0	0	0	0	0
Otu00056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1622	3931	0	0	0	0	0	0	0	0	0	0
Otu00057	0	0	387	0	386	319	0	0	0	0	0	0	0	406	518	349	342	0	0	0	0	0	0	0	0	0	0	0	318	0	0	0
Otu00058	0	471	409	0	371	0	0	0	0	0	663	0	0	0	366	340	0	0	0	0	0	0	0	0	0	0	0	0	473	0	403	0
Otu00059	0	0	0	0	0	0	0	0	0	0	330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00060	0	0	0	0	0	0	0	0	0	0	311	0	0	403	368	0	304	0	0	0	0	0	0	0	0	0	0	852	0	0	0	0
Otu00061	0	0	0	0	370	0	0	0	0	0	0	0	0	363	475	373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00062	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0	0	0	733	1996	0	0	0	0	0	0	0	0	0	0
Otu00063	0	0	533	0	464	417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00064	0	0	0	0	401	0	0	0	0	0	0	0	0	0	0	0	0	324	0	330	0	546	0	0	0	0	0	0	0	0	0	0
Otu00065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	527	1750	0	0	0	0	0	0	0	0	0	0
Otu00066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	329	0	0	0	0	0	0	0	0	0	0	0	0
Otu00068	0	0	0	0	0	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370	0	0	0
Otu00069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	679	649	0	0	0	0	0	0	0	0	0	0	0	0
Otu00070	0	0	0	0	0	0	0	0	0	0	0	0	0	380	476	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	502	1388	0	0	0	0	0	0	0	0	0	0
Otu00072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1165	2124	0	0	0	0	0	0	0	0	0	0
Otu00073	0	0	0	0	0	0	0	0	0	0	314	0	0	0	0	0	0	0	0	0	1236	1782	0	0	0	0	0	0	0	0	0	0
Otu00074	0	0	0	0	0	0	0	0	0	0	514	0	0	368	490	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	548	355	500	0	0	0	0	0	0	0	0	0
Otu00076	0	0	0	0	0	0	318	0	0	0	0	0	510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00077	0	0	323	0	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	0	0
Otu00079	0	0	385	0	398	0	0	0	0	0	554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	822	1938	0	0	0	0	0	0	0	0	0	0
